1    942833  0.6162809927079057  1647983  0.6518751883851134
63  aaagbaqabpxdzeif  0  3.268238733073792e-07  1  5.933389397270483e-07
64  aaagbaqagpwklo  0  3.268238733073792e-07  1  5.933389397270483e-07
65  aaagbaqagpwl  1  9.804716199221375e-07  0  1.9777964657568277e-07
66  aaagbaqagpwlituixv  0  3.268238733073792e-07  1  5.933389397270483e-07
67  aaagbawebpwfoln  0  3.268238733073792e-07  1  5.933389397270483e-07
68  aaagbawebpwh  1  9.804716199221375e-07  0  1.9777964657568277e-07
69  aaah  0  3.268238733073792e-07  1  5.933389397270483e-07
70  aaahoejjtqqmfu  0  3.268238733073792e-07  1  5.933389397270483e-07
71  aaai  0  3.268238733073792e-07  1  5.933389397270483e-07
72  aaakdgvjaaaabdaaaaamclrsqwaabdwaaagmz  0  3.268238733073792e-07  1  5.933389397270483e-07
73  aaakoojskracdh  0  3.268238733073792e-07  1  5.933389397270483e-07
74  aaamsexpbm  0  3.268238733073792e-07  1  5.933389397270483e-07
75  aaaoejjtqqac  0  3.268238733073792e-07  3  1.3844575260297793e-06
76  aaaqaegaqgacaaiasabcaaiaajhcsu  0  3.268238733073792e-07  2  9.888982328784137e-07
77  aaaqagp  0  3.268238733073792e-07  1  5.933389397270483e-07
78  aaar  2  1.6341193665368958e-06  0  1.9777964657568277e-07
79  aaasgaqwcmeevz  0  3.268238733073792e-07  1  5.933389397270483e-07
80  aaasjaaaavm  0  3.268238733073792e-07  1  5.933389397270483e-07
81  aaaticketsource  0  3.268238733073792e-07  3  1.3844575260297793e-06
82  aaatrading  0  3.268238733073792e-07  3  1.3844575260297793e-06
83  aaawdaqacaamaaaaqtkb  0  3.268238733073792e-07  1  5.933389397270483e-07
84  aaawdaqaceamqaaab  1  9.804716199221375e-07  1  5.933389397270483e-07
85  aaawdaqaceqmrad  0  3.268238733073792e-07  5  2.17557611233251e-06
86  aaaxgu  0  3.268238733073792e-07  1  5.933389397270483e-07
87  aaayk  0  3.268238733073792e-07  1  5.933389397270483e-07
88  aab  0  3.268238733073792e-07  4  1.7800168191811448e-06
